Date,Opponent,VT,UB,BB,FX,AA,HomeAway,Team,GymnastID,Name
"Sun, Jan-18-2026",Ball State,9.7250,,,,,A,Bowling Green,31840,Charniya Brown
"Sun, Jan-11-2026",Eastern Michigan,9.7000,,,9.5250,,H,Bowling Green,31842,Madison Coburn
"Sun, Jan-18-2026",Ball State,9.6750,,,9.4750,,A,Bowling Green,31842,Madison Coburn
"Sun, Jan-11-2026",Eastern Michigan,,,9.5750,,,H,Bowling Green,32342,Faye Dubin
"Sun, Jan-18-2026",Ball State,,,9.5750,,,A,Bowling Green,32342,Faye Dubin
"Sun, Jan-11-2026",Eastern Michigan,9.6500,8.7500,,9.6500,,H,Bowling Green,32343,Megan Dzialo
"Sun, Jan-18-2026",Ball State,9.6750,9.5750,,9.7500,,A,Bowling Green,32343,Megan Dzialo
"Sun, Jan-11-2026",Eastern Michigan,9.6250,,9.7000,9.5750,,H,Bowling Green,32964,Emily Gianfrancesco
"Sun, Jan-18-2026",Ball State,9.5000,,9.7250,9.6500,,A,Bowling Green,32964,Emily Gianfrancesco
"Sun, Jan-11-2026",Eastern Michigan,,9.5750,9.6750,,,H,Bowling Green,33456,Natasha Lopez
"Sun, Jan-18-2026",Ball State,,9.7000,9.4750,,,A,Bowling Green,33456,Natasha Lopez
"Sun, Jan-11-2026",Eastern Michigan,,,8.8500,,,H,Bowling Green,32344,Teegan Milligan
"Sun, Jan-18-2026",Ball State,,,9.6000,,,A,Bowling Green,32344,Teegan Milligan
"Sun, Jan-11-2026",Eastern Michigan,,9.7000,9.0000,9.5250,,H,Bowling Green,32345,Nadia Parente
"Sun, Jan-18-2026",Ball State,,9.4500,9.6500,,,A,Bowling Green,32345,Nadia Parente
"Sun, Jan-11-2026",Eastern Michigan,,9.6750,9.6750,9.7250,,H,Bowling Green,32965,Kayla Shaw
"Sun, Jan-18-2026",Ball State,,9.6750,9.6750,9.8250,,A,Bowling Green,32965,Kayla Shaw
"Sun, Jan-11-2026",Eastern Michigan,9.4000,9.5500,,,,H,Bowling Green,33458,Addie Tandeski
"Sun, Jan-18-2026",Ball State,9.5750,9.6000,,,,A,Bowling Green,33458,Addie Tandeski
"Sun, Jan-11-2026",Eastern Michigan,9.6250,9.5500,,9.7500,,H,Bowling Green,32346,Keira Thornton
"Sun, Jan-18-2026",Ball State,9.6250,9.6500,,9.7750,,A,Bowling Green,32346,Keira Thornton
"Sun, Jan-18-2026",Ball State,,,,9.5000,,A,Bowling Green,33406,Landyn Williams
"Sun, Jan-11-2026","Rhode Island College, Southern Conn., Springfield College",9.7250,,,9.8500,,H,Brown,31846,Sophia Dewar
"Sun, Jan-18-2026",Yale,9.7500,7.6500,,9.8500,,A,Brown,31846,Sophia Dewar
"Sun, Jan-11-2026","Rhode Island College, Southern Conn., Springfield College",9.7750,,,,,H,Brown,31847,Umi El Mammann
"Sun, Jan-18-2026",Yale,9.6750,,,,,A,Brown,31847,Umi El Mammann
"Sun, Jan-11-2026","Rhode Island College, Southern Conn., Springfield College",,9.5250,,9.7250,,H,Brown,32971,Daisy Fallon
"Sun, Jan-18-2026",Yale,,,,9.7000,,A,Brown,32971,Daisy Fallon
"Sun, Jan-11-2026","Rhode Island College, Southern Conn., Springfield College",9.6000,8.8250,9.1500,,,H,Brown,32348,Emily Ford
"Sun, Jan-18-2026",Yale,9.7250,9.6500,9.7750,,,A,Brown,32348,Emily Ford
"Sun, Jan-11-2026","Rhode Island College, Southern Conn., Springfield College",,9.8000,9.8250,9.7750,,H,Brown,31849,Liza Marcus
"Sun, Jan-18-2026",Yale,,9.7500,9.5750,9.7500,,A,Brown,31849,Liza Marcus
"Sun, Jan-11-2026","Rhode Island College, Southern Conn., Springfield College",9.5250,,9.3500,,,H,Brown,32973,Gabby Mautner
"Sun, Jan-18-2026",Yale,9.5250,,,,,A,Brown,32973,Gabby Mautner
"Sun, Jan-11-2026","Rhode Island College, Southern Conn., Springfield College",,,,9.6750,,H,Brown,32974,Maeve McIlroy
"Sun, Jan-18-2026",Yale,,,,9.7000,,A,Brown,32974,Maeve McIlroy
"Sun, Jan-11-2026","Rhode Island College, Southern Conn., Springfield College",,,9.8500,,,H,Brown,33466,Rehna Saalinger
"Sun, Jan-18-2026",Yale,,,9.7500,,,A,Brown,33466,Rehna Saalinger
"Sun, Jan-11-2026","Rhode Island College, Southern Conn., Springfield College",9.6500,9.4000,,,,H,Brown,33467,Lulu Ton-That
"Sun, Jan-18-2026",Yale,9.6250,9.6750,,,,A,Brown,33467,Lulu Ton-That
"Sun, Jan-11-2026","Rhode Island College, Southern Conn., Springfield College",9.4500,9.4250,,,,H,Brown,33468,Sophie Tressler
"Sun, Jan-18-2026",Yale,,9.7000,,,,A,Brown,33468,Sophie Tressler
"Sun, Jan-11-2026","Rhode Island College, Southern Conn., Springfield College",,,9.5250,9.6250,,H,Brown,32350,Lindsay Van Eyk
"Sun, Jan-18-2026",Yale,,,9.7250,9.7750,,A,Brown,32350,Lindsay Van Eyk
"Sun, Jan-11-2026","Rhode Island College, Southern Conn., Springfield College",,9.5500,9.6250,,,H,Brown,32976,Addison Whiteside
"Sun, Jan-18-2026",Yale,,9.5250,9.5500,,,A,Brown,32976,Addison Whiteside
