GymnastID,HomeAway,Week,Date,MeetID,Event,Score
33274,A,2,2026-01-09,,AA,
33275,A,2,2026-01-09,,AA,
33275,A,3,2026-01-16,,AA,
32256,A,2,2026-01-09,,AA,
32256,A,3,2026-01-16,,AA,
33800,A,2,2026-01-09,,AA,
33800,A,3,2026-01-16,,AA,34.875
33802,A,2,2026-01-09,,AA,
33802,A,3,2026-01-16,,AA,
33276,A,2,2026-01-09,,AA,
33276,A,3,2026-01-16,,AA,
33277,A,2,2026-01-09,,AA,
33277,A,3,2026-01-16,,AA,
33280,A,2,2026-01-09,,AA,37.525
33280,A,3,2026-01-16,,AA,36.7
32808,H,2,2026-01-11,2026-01-11_Hamline,AA,
32808,A,3,2026-01-15,2026-01-15_Hamline,AA,
33750,H,2,2026-01-11,2026-01-11_Hamline,AA,
33750,A,3,2026-01-15,2026-01-15_Hamline,AA,
33338,H,2,2026-01-11,2026-01-11_Hamline,AA,
33339,H,2,2026-01-11,2026-01-11_Hamline,AA,
33751,H,2,2026-01-11,2026-01-11_Hamline,AA,
33751,A,3,2026-01-15,2026-01-15_Hamline,AA,
33752,H,2,2026-01-11,2026-01-11_Hamline,AA,
33752,A,3,2026-01-15,2026-01-15_Hamline,AA,
32197,A,3,2026-01-15,2026-01-15_Hamline,AA,
33754,H,2,2026-01-11,2026-01-11_Hamline,AA,
33754,A,3,2026-01-15,2026-01-15_Hamline,AA,
32615,H,2,2026-01-11,2026-01-11_Hamline,AA,
32621,H,2,2026-01-11,2026-01-11_Hamline,AA,
32621,A,3,2026-01-15,2026-01-15_Hamline,AA,
32618,H,2,2026-01-11,2026-01-11_Hamline,AA,
32618,A,3,2026-01-15,2026-01-15_Hamline,AA,
32199,H,2,2026-01-11,2026-01-11_Hamline,AA,
32199,A,3,2026-01-15,2026-01-15_Hamline,AA,
32200,H,2,2026-01-11,2026-01-11_Hamline,AA,
32200,A,3,2026-01-15,2026-01-15_Hamline,AA,
33341,H,2,2026-01-11,2026-01-11_Hamline,AA,
33341,A,3,2026-01-15,2026-01-15_Hamline,AA,
32201,H,2,2026-01-11,2026-01-11_Hamline,AA,
32201,A,3,2026-01-15,2026-01-15_Hamline,AA,
32202,H,2,2026-01-11,2026-01-11_Hamline,AA,
32202,A,3,2026-01-15,2026-01-15_Hamline,AA,
33342,H,2,2026-01-11,2026-01-11_Hamline,AA,
33342,A,3,2026-01-15,2026-01-15_Hamline,AA,
32620,H,2,2026-01-11,2026-01-11_Hamline,AA,
32620,A,3,2026-01-15,2026-01-15_Hamline,AA,
32205,H,2,2026-01-11,2026-01-11_Hamline,AA,
32205,A,3,2026-01-15,2026-01-15_Hamline,AA,
33523,A,2,2026-01-10,2026-01-10_Iowa,AA,
33523,H,3,2026-01-16,2026-01-16_Illinois,AA,
33010,A,2,2026-01-10,2026-01-10_Iowa,AA,
33010,H,3,2026-01-16,2026-01-16_Illinois,AA,
31914,A,2,2026-01-10,2026-01-10_Iowa,AA,
31914,H,3,2026-01-16,2026-01-16_Illinois,AA,
33011,A,2,2026-01-10,2026-01-10_Iowa,AA,39.525
33011,H,3,2026-01-16,2026-01-16_Illinois,AA,39.25
33524,A,2,2026-01-10,2026-01-10_Iowa,AA,
33524,H,3,2026-01-16,2026-01-16_Illinois,AA,
32423,A,2,2026-01-10,2026-01-10_Iowa,AA,
32423,H,3,2026-01-16,2026-01-16_Illinois,AA,
32422,A,2,2026-01-10,2026-01-10_Iowa,AA,
32422,H,3,2026-01-16,2026-01-16_Illinois,AA,
33525,A,2,2026-01-10,2026-01-10_Iowa,AA,
33525,H,3,2026-01-16,2026-01-16_Illinois,AA,
33027,A,2,2026-01-10,2026-01-10_Iowa,AA,
33027,H,3,2026-01-16,2026-01-16_Illinois,AA,
31915,A,2,2026-01-10,2026-01-10_Iowa,AA,
31915,H,3,2026-01-16,2026-01-16_Illinois,AA,
33528,A,2,2026-01-10,2026-01-10_Iowa,AA,
33528,H,3,2026-01-16,2026-01-16_Illinois,AA,
32419,A,2,2026-01-10,2026-01-10_Iowa,AA,
32419,H,3,2026-01-16,2026-01-16_Illinois,AA,
33529,A,2,2026-01-10,2026-01-10_Iowa,AA,
32855,A,2,2026-01-10,2026-01-10_Iowa,AA,
32855,A,3,2026-01-16,2026-01-16_BYU,AA,
32855,H,3,2026-01-18,2026-01-18_Illinois State,AA,
32682,A,2,2026-01-10,2026-01-10_Iowa,AA,
